Temperature,Cp,S,H
100.0,28.155,100.616,2.999
200.0,27.447,119.301,5.693
298.15,28.836,130.57,8.468
300.0,28.849,130.747,8.521
400.0,29.181,139.104,11.426
500.0,29.260,145.626,14.349
600.0,29.327,150.966,17.278
700.0,29.440,155.494,20.216
800.0,29.623,159.437,23.169
900.0,29.880,162.94,26.143
1000.0,30.204,166.104,29.147
1100.0,30.580,169.0,32.186
1200.0,30.991,171.678,35.264
1300.0,31.422,174.176,38.385
1400.0,31.860,176.52,41.549
1500.0,32.296,178.734,44.757
1600.0,32.724,180.832,48.008
1700.0,33.138,182.828,51.301
1800.0,33.535,184.733,54.635
1900.0,33.915,186.557,58.007
2000.0,34.277,188.306,61.417
2100.0,34.622,189.987,64.862
2200.0,34.949,191.605,68.341
2300.0,35.259,193.165,71.851
2400.0,35.555,194.672,75.392
2500.0,35.837,196.129,78.962
2600.0,36.106,197.54,82.559
2700.0,36.363,198.908,86.183
2800.0,36.610,200.235,89.831
2900.0,36.847,201.524,93.504
3000.0,37.076,202.776,97.201
3100.0,37.298,203.996,100.919
3200.0,37.513,205.183,104.66
3300.0,37.723,206.341,108.422
3400.0,37.928,207.47,112.204
3500.0,38.129,208.573,116.007
3600.0,38.326,209.649,119.83
3700.0,38.520,210.702,123.672
3800.0,38.711,211.732,127.534
3900.0,38.899,212.74,131.414
4000.0,39.085,213.727,135.314
4100.0,39.269,214.695,139.231
4200.0,39.450,215.643,143.167
4300.0,39.629,216.573,147.121
4400.0,39.806,217.486,151.093
4500.0,39.980,218.383,155.082
4600.0,40.151,219.264,159.089
4700.0,40.318,220.129,163.112
4800.0,40.482,220.979,167.152
4900.0,40.641,221.816,171.208
5000.0,40.796,222.638,175.28
5100.0,40.945,223.448,179.368
5200.0,41.088,224.244,183.469
5300.0,41.226,225.028,187.585
5400.0,41.357,225.8,191.714
5500.0,41.480,226.56,195.856
5600.0,41.596,227.308,200.01
5700.0,41.703,228.046,204.175
5800.0,41.803,228.772,208.35
5900.0,41.893,229.487,212.535
6000.0,41.974,230.192,216.728
6200.0,42.107,231.571,225.137
6400.0,42.200,232.909,233.569
6600.0,42.252,234.208,242.015
6800.0,42.263,235.47,250.467
7000.0,42.233,236.695,258.917
7200.0,42.164,237.884,267.357
7400.0,42.055,239.038,275.78
7600.0,41.910,240.157,284.177
7800.0,41.731,241.244,292.542
8000.0,41.520,242.298,300.867
8200.0,41.280,243.32,309.148
8400.0,41.014,244.312,317.377
8600.0,40.724,245.273,325.552
8800.0,40.415,246.206,333.666
9000.0,40.088,247.111,341.716
9200.0,39.745,247.988,349.7
9400.0,39.391-,248.839,357.614
9600.0,39.027,249.664,365.456
9800.0,38.655,250.465,373.224
10000.0,38.277,251.242,380.917
10500.0,37.321,253.087,399.818
11000.0,36.367,254.801,418.239
11500.0,35.432,256.397,436.188
12000.0,34.530,257.886,453.676
12500.0,33.669,259.277,470.724
13000.0,32.855,260.582,487.353
13500.0,32.089,261.808,503.587
14000.0,31.373,262.961,519.451
14500.0,30.706,264.05,534.969
15000.0,30.085,265.081,550.164
15500.0,29.510,266.058,565.061
16000.0,28.976,266.986,579.681
16500.0,28.483,267.87,594.044
17000.0,28.025,268.714,608.17
17500.0,27.602,269.52,622.076
18000.0,27.211,270.292,635.777
18500.0,26.848,271.032,649.291
19000.0,26.511,271.744,662.63
19500.0,26.200,272.428,675.807
20000.0,25.910,273.088,688.833
