Temperature,Cp,S,H
100.0,29.112,173.192,2.901
200.0,29.127,193.372,5.812
298.15,29.378,205.035,8.68
300.0,29.387,205.217,8.735
400.0,30.108,213.76,11.706
500.0,31.093,220.582,14.765
600.0,32.093,226.34,17.925
700.0,32.986,231.356,21.18
800.0,33.739,235.811,24.517
900.0,34.363,239.822,27.923
1000.0,34.88,243.471,31.386
1100.0,35.312,246.816,34.897
1200.0,35.681,249.904,38.447
1300.0,36.005,252.774,42.031
1400.0,36.296,255.453,45.646
1500.0,36.566,257.966,49.29
1600.0,36.822,260.334,52.959
1700.0,37.069,262.574,56.654
1800.0,37.31,264.7,60.373
1900.0,37.547,266.723,64.116
2000.0,37.783,268.655,67.882
2100.0,38.016,270.504,71.672
2200.0,38.248,272.278,75.486
2300.0,38.478,273.983,79.322
2400.0,38.705,275.626,83.181
2500.0,38.929,277.21,87.063
2600.0,39.15,278.741,90.967
2700.0,39.366,280.223,94.893
2800.0,39.578,281.659,98.84
2900.0,39.784,283.051,102.808
3000.0,39.986,284.403,106.797
3100.0,40.181,285.717,110.805
3200.0,40.371,286.996,114.833
3300.0,40.555,288.241,118.879
3400.0,40.734,289.455,122.943
3500.0,40.906,290.638,127.025
3600.0,41.074,291.793,131.124
3700.0,41.236,292.92,135.24
3800.0,41.393,294.022,139.371
3900.0,41.546,295.099,143.518
4000.0,41.695,296.153,147.68
4100.0,41.84,297.184,151.856
4200.0,41.981,298.194,156.047
4300.0,42.119,299.183,160.251
4400.0,42.253,300.153,164.469
4500.0,42.385,301.104,168.7
4600.0,42.515,302.036,172.943
4700.0,42.642,302.952,177.2
4800.0,42.767,303.85,181.468
4900.0,42.889,304.733,185.748
5000.0,43.009,305.6,190.04
5100.0,43.127,306.452,194.344
5200.0,43.243,307.29,198.658
5300.0,43.356,308.114,202.983
5400.0,43.467,308.924,207.319
5500.0,43.575,309.722,211.664
5600.0,43.68,310.506,216.02
5700.0,43.782,311.279,220.384
5800.0,43.881,312.039,224.757
5900.0,43.976,312.788,229.139
6000.0,44.067,313.526,233.529
6200.0,44.236,314.969,242.329
6400.0,44.386,316.37,251.155
6600.0,44.514,317.73,260.0
6800.0,44.62,319.053,268.86
7000.0,44.702,320.338,277.728
7200.0,44.758,321.588,286.599
7400.0,44.788,322.802,295.466
7600.0,44.792,323.983,304.324
7800.0,44.769,325.132,313.166
8000.0,44.721,326.248,321.987
8200.0,44.647,327.334,330.779
8400.0,44.549,328.389,339.538
8600.0,44.428,329.415,348.258
8800.0,44.286,330.412,356.935
9000.0,44.124,331.381,365.562
9200.0,43.944,332.323,374.137
9400.0,43.747,333.239,382.655
9600.0,43.536,334.13,391.113
9800.0,43.311,334.995,399.508
10000.0,43.075,335.836,407.836
10500.0,42.447,337.838,428.356
11000.0,41.782,339.705,448.424
11500.0,41.099,341.447,468.028
12000.0,40.416,343.076,487.164
12500.0,39.744,344.6,505.839
13000.0,39.092,346.029,524.064
13500.0,38.467,347.371,541.855
14000.0,37.873,348.635,559.23
14500.0,37.312,349.826,576.211
15000.0,36.785,350.951,592.819
15500.0,36.292,352.016,609.075
16000.0,35.832,353.027,625.001
16500.0,35.404,353.988,640.618
17000.0,35.006,354.902,655.947
17500.0,34.638,355.775,671.005
18000.0,34.296,356.608,685.812
18500.0,33.98,357.406,700.384
19000.0,33.687,358.171,714.736
19500.0,33.415,358.905,728.884
20000.0,33.164,359.611,742.841
